Experiment,Dose_nM,Sample_ID,Response_Pct
P1,1,1,30.3668
P1,1,2,29.1753
P1,1,3,22.6921
P1,1,4,22.9361
P1,1,5,23.4415
P1,1,6,23.9271
P1,1,7,16.8162
P1,1,8,1.4023
P1,1,9,25.9901
P1,1,10,22.4147
P1,1,11,23.4913
P1,1,12,29.1043
P1,1,13,26.9716
P1,1,14,28.0175
P1,1,15,28.549
P1,1,16,25.1859
P1,1,17,24.3214
P1,1,18,25.0252
P1,1,19,27.9231
P1,1,20,27.0183
P1,1,21,27.6313
P1,1,22,24.1595
P1,1,23,28.5357
P1,1,24,25.466
P1,1,25,11.8237
P1,1,26,24.7531
P1,1,27,30.7729
P1,1,28,29.2948
P1,1,29,28.2669
P1,1,30,27.3843
P1,1,31,28.3582
P1,1,32,24.5687
P1,1,33,27.2234
P1,1,34,15.875
P1,1,35,22.5408
P1,1,36,23.7529
P1,1,37,27.9351
P1,1,38,13.1764
P1,11,1,69.749
P1,11,2,68.7677
P1,11,3,66.1041
P1,11,4,59.0426
P1,11,5,60.0503
P1,11,6,64.2701
P1,11,7,78.9536
P1,11,8,64.3387
P1,11,9,64.5862
P1,11,10,69.9464
P1,11,11,61.3145
P1,11,12,63.0687
P1,11,13,68.2145
P1,11,14,70.5493
P1,11,15,72.333
P1,11,16,62.3062
P1,11,17,66.0704
P1,11,18,67.2793
P1,11,19,65.981
P1,11,20,80.815
P1,11,21,65.662
P1,11,22,64.8186
P1,11,23,68.3515
P1,11,24,70.1228
P1,11,25,67.623
P1,11,26,49.2742
P1,11,27,82.8115
P1,11,28,73.9981
P1,11,29,67.9237
P1,11,30,60.9558
P1,11,31,69.1107
P1,11,32,57.0192
P1,11,33,86.0016
P1,11,34,66.1855
P1,11,35,67.3595
P1,11,36,70.3428
P1,111,1,94.8456
P1,111,2,92.4891
P1,111,3,90.5767
P1,111,4,88.573
P1,111,5,88.9627
P1,111,6,81.6969
P1,111,7,81.6383
P1,111,8,80.5111
P1,111,9,89.2751
P1,111,10,84.4266
P1,111,11,82.4254
P1,111,12,89.4346
P1,111,13,98.8537
P1,111,14,98.3543
P1,111,15,96.8894
P1,111,16,92.2313
P1,111,17,82.4925
P1,111,18,95.8538
P1,111,19,92.1355
P1,111,20,93.6259
P1,111,21,97.9491
P1,111,22,105.6162
P1,111,23,98.9319
P1,111,24,108.9135
P1,111,25,86.3627
P1,111,26,109.8911
P1,111,27,103.9202
P1,111,28,100.3289
P1,111,29,95.7789
P1,111,30,93.0795
P1,111,31,100.2716
P1,111,32,103.9054
P1,111,33,85.0657
P1,111,34,90.4479
P1,111,35,104.0201
P1,111,36,100.2065
P1,1111,1,100.0
P1,1111,2,100.0
P1,1111,3,100.0
P1,1111,4,100.0
P1,1111,5,100.0
P1,1111,6,100.0
P1,1111,7,100.0
P1,1111,8,100.0
P1,1111,9,100.0
P1,1111,10,100.0
P1,1111,11,100.0
P1,1111,12,100.0
P1,1111,13,100.0
P1,1111,14,100.0
P1,1111,15,100.0
P1,1111,16,100.0
P1,1111,17,100.0
P1,1111,18,100.0
P1,1111,19,100.0
P1,1111,20,100.0
P1,1111,21,100.0
P1,1111,22,100.0
P1,1111,23,100.0
P1,1111,24,100.0
P1,1111,25,100.0
P1,1111,26,100.0
P1,1111,27,100.0
P1,1111,28,100.0
P1,1111,29,100.0
P1,1111,30,100.0
P1,1111,31,100.0
P1,1111,32,100.0
P1,1111,33,100.0
P1,1111,34,100.0
P1,1111,35,100.0
P1,1111,36,100.0
P1,1111,37,100.0
P1,1111,38,100.0
P1,1111,39,100.0
P1,1111,40,100.0
P1,1111,41,100.0
P1,6111,1,100.0
P1,6111,2,100.0
P1,6111,3,100.0
P1,6111,4,100.0
P1,6111,5,100.0
P1,6111,6,99.6473
P1,6111,7,98.6149
P1,6111,8,100.5135
P1,6111,9,104.4761
P1,6111,10,87.9979
P1,6111,11,106.4915
P1,6111,12,106.9944
P1,6111,13,104.4027
P1,6111,14,86.1348
P1,6111,15,107.5377
P1,6111,16,104.9797
P1,6111,17,96.0073
P1,6111,18,103.6573
P1,6111,19,104.521
P1,6111,20,90.9624
P1,6111,21,100.7049
P1,6111,22,84.377
P1,6111,23,103.0809
P1,6111,24,92.2233
P1,6111,25,87.8845
P1,6111,26,103.5763
P1,6111,27,88.6209
P1,6111,28,102.0522
P1,6111,29,90.0853
P1,6111,30,83.3017
P1,6111,31,97.2919
P1,6111,32,95.3725
P1,6111,33,100.3924
P2,1,1,19.4541
P2,11,1,48.4737
P2,11,2,84.403
P2,11,3,45.6119
P2,11,4,51.6927
P2,11,5,53.1011
P2,11,6,58.8855
P2,11,7,63.7718
P2,11,8,56.9099
P2,11,9,54.4497
P2,11,10,54.5541
P2,11,11,30.9389
P2,11,12,77.3252
P2,11,13,47.2076
P2,11,14,56.9382
P2,11,15,59.1778
P2,11,16,50.4277
P2,11,17,60.2803
P2,111,1,86.791
P2,111,2,64.3469
P2,111,3,71.7878
P2,111,4,70.693
P2,111,5,77.7097
P2,111,6,79.9874
P2,111,7,72.559
P2,111,8,72.1867
P2,111,9,73.2099
P2,111,10,66.4544
P2,111,11,66.713
P2,111,12,74.3758
P2,111,13,73.1757
P2,111,14,66.3017
P2,1111,1,100.0
P2,1111,2,100.0
P2,1111,3,100.0
P2,1111,4,100.0
P2,1111,5,100.0
P2,1111,6,100.0
P2,1111,7,100.0
P2,1111,8,100.0
P2,1111,9,100.0
P2,1111,10,100.0
P2,1111,11,100.0
P2,1111,12,100.0
P2,1111,13,100.0
P2,1111,14,100.0
P2,1111,15,100.0
P2,1111,16,100.0
P2,1111,17,100.0
P2,6111,1,98.353
P2,6111,2,108.0182
P3,1,1,31.775
P3,1,2,20.5531
P3,1,3,34.6977
P3,1,4,15.7235
P3,1,5,23.5572
P3,1,6,30.385
P3,1,7,39.6941
P3,1,8,35.4917
P3,1,9,26.968
P3,1,10,21.461
P3,1,11,37.3772
P3,1,12,28.1962
P3,1,13,37.1235
P3,1,14,39.5608
P3,1,15,34.9158
P3,1,16,34.3811
P3,1,17,33.5831
P3,1,18,7.4451
P3,11,1,52.9204
P3,11,2,48.3837
P3,11,3,39.8537
P3,11,4,52.212
P3,11,5,52.5494
P3,11,6,62.5997
P3,11,7,45.2585
P3,11,8,66.9922
P3,11,9,73.2913
P3,11,10,61.2013
P3,11,11,84.8865
P3,11,12,57.3305
P3,11,13,63.8786
P3,11,14,47.0728
P3,11,15,67.5862
P3,11,16,56.6892
P3,11,17,56.431
P3,11,18,42.6326
P3,11,19,64.3017
P3,11,20,49.2182
P3,11,21,48.8029
P3,11,22,48.5053
P3,11,23,69.4283
P3,11,24,65.7354
P3,111,1,101.1622
P3,111,2,95.0948
P3,111,3,84.8641
P3,111,4,109.1311
P3,111,5,84.4415
P3,111,6,86.6856
P3,111,7,108.75
P3,111,8,105.5195
P3,111,9,72.0812
P3,111,10,66.6062
P3,111,11,67.1129
P3,111,12,74.1764
P3,111,13,68.1024
P3,1111,1,98.8642
P3,1111,2,89.204
P3,1111,3,86.0371
P3,1111,4,86.4189
P3,6111,1,100.0
P3,6111,2,100.0
P3,6111,3,100.0
P3,6111,4,100.0
P3,6111,5,100.0
